Days,Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
1D,HIGH,MEAN,Ridge,0.9366113155768148,0.9366113155767622,0.974995170629812,1.0946495358100432,0.802618339562416,0.0263138342934372
1D,HIGH,MEAN,SVR,0.9429560776909706,0.9429560776909236,0.9760819574132562,1.048045536681813,0.7678889174252583,0.0251068642292051
1D,HIGH,MEAN,XGB,0.9433702186509504,0.9433702186509044,0.9756959346439598,1.0418241043758336,0.7779780870914459,0.025496741554543
1D,HIGH,SPLINE,Ada,0.8767652391830894,0.8767652391829941,0.963601953902374,1.5137295330720375,1.1925310961557207,0.0388907613771278
1D,HIGH,SPLINE,DT,0.8921950381739179,0.8921950381738326,0.9676724180654044,1.453334065285582,1.058800003528595,0.0345359982283231
1D,HIGH,SPLINE,GB,0.9388744800607982,0.9388744800607488,0.974803146599977,1.093381183148034,0.8096403633434341,0.0264903972572512
1D,HIGH,SPLINE,KNN,0.9329523014760248,0.9329523014759707,0.9735276744665008,1.1441966124368526,0.8529800590515138,0.0278700425029531
1D,HIGH,SPLINE,LGBM,0.9449208520854828,0.9449208520854387,0.97589773248815,1.0374694236715454,0.7725576218989021,0.0252706439993834
1D,HIGH,SPLINE,LN,0.9371365173932656,0.9371365173932134,0.975077489307232,1.0920029651206165,0.801014483809471,0.026221173617433
1D,HIGH,SPLINE,Lasso,0.934061940492502,0.9340619404924478,0.9744895659518428,1.1159256523744947,0.8196737941503526,0.0268714169638998
1D,HIGH,SPLINE,RF,0.945192254581766,0.9451922545817212,0.9762383832242766,1.028709208383224,0.7606640058064461,0.0249171595211041
1D,HIGH,SPLINE,Ridge,0.9371367114615592,0.9371367114615076,0.9750774704750488,1.0920026349907537,0.8010150184631348,0.0262211908241345
1D,HIGH,SPLINE,SVR,0.9433400715228496,0.9433400715228032,0.9761026350866938,1.048123256162832,0.7679394955131058,0.0250788657811839
