Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
MED,MEAN,Lasso,0.8146113146000664,0.8146113146000001,0.9606435483273,1.2701851039521999,0.9484367365983069,0.04237837340618613
MED,MEAN,RF,0.8313642513545468,0.8313642513544856,0.9630759230771618,1.2024787171686333,0.887600762567958,0.03965252296599211
MED,MEAN,Ridge,0.817236868476397,0.8172368684763319,0.9610459088410165,1.2620851078724074,0.9399172612598964,0.04193311264595408
MED,MEAN,SVR,0.8295218039957684,0.8295218039957062,0.9632829692090285,1.205370862669034,0.8831715693212747,0.03946846629623292
MED,MEAN,XGB,0.8261216935861432,0.8261216935860799,0.9626891960247609,1.2142460592644309,0.8950913487891762,0.04011419578738209
MED,SPLINE,Ada,0.7499347911560642,0.749934791155982,0.9510041887949688,1.5520322719084958,1.2142626517755626,0.05324073693131587
MED,SPLINE,DT,0.6674113757702628,0.6674113757701485,0.9491778098329341,1.7508049847918146,1.2650765434211615,0.05615052913121774
MED,SPLINE,GB,0.8259023817624797,0.8259023817624176,0.9619928952128429,1.2451881572552028,0.9190122142712465,0.04086437262987418
MED,SPLINE,KNN,0.7945943617069825,0.7945943617069097,0.9584000278288569,1.3553716894198131,1.0163188914498504,0.044947144927192983
MED,SPLINE,LGBM,0.8326159930837053,0.8326159930836449,0.9630005502242432,1.2163202139747955,0.8930008899837201,0.03973541878323545
MED,SPLINE,LN,0.7586098242301604,0.7586098242300824,0.9552808162307673,1.5117786227359031,1.117492170601475,0.04874520648530938
MED,SPLINE,Lasso,0.7560219103979768,0.7560219103978978,0.954991133777846,1.515903254207299,1.1220723316620806,0.04907160831382264
MED,SPLINE,RF,0.831826505873748,0.8318265058736876,0.9629290226863308,1.2240807739463304,0.896556121104834,0.03983064943658616
MED,SPLINE,Ridge,0.75861129677137,0.7586112967712921,0.955280891437723,1.5117748547787124,1.117490204134766,0.04874510908752251
MED,SPLINE,SVR,0.8274452836747088,0.8274452836746471,0.9626166070143393,1.2420135401822987,0.9083733460519234,0.04021921853339614
MED,SPLINE,XGB,0.8233449437252507,0.8233449437251873,0.9619590492517668,1.2488190805319237,0.9191115691467207,0.04092366345894117
HIGH,LINEAR,Ada,0.8663535065930066,0.8663535065929893,0.9656858723437896,1.4427993239487795,1.121740486427151,0.03654209240599456
